trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,2.403592100017704,5.4386567999608815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1433,AB_pic_singleT2,2020.2.10,59.99919601163631,
AB,lag6,6,5,11,0.2,0.05,0.5,0,0,0,0,,,,,5.4386567999608815,None,pokerchips.jpg,cheetah.jpg,seagull.jpg,sheep.jpg,exitsign.jpg,footballhelmet.jpg,elbow.jpg,car.jpg,guitarcase.jpg,worldmap.jpg,dartboard.jpg,cashregister01.jpg,frisbee.jpg,ladybug03.jpg,jeans01.jpg,eyepatch.jpg,treadmill.jpg,7.901164199982304,10.651458699954674,10.384858599980362,None,1,0,13,10.901467399962712,None,10.901467399962712,None,.\resources\dartboard.jpg,14.400798699993175,None,1,14.400798699993175,None,left,0.8255310999811627,14.400798699993175,None,15.2673758000019,None,1,right,0.25510519999079406,15.2673758000019,None,15.2673758000019,None,15.56735759996809,None,16.567283899959875,None,None,16.567283899959875,None,,001,2021_Mar_31_1433,AB_pic_singleT2,2020.2.10,59.99919601163631,
