trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,text_6.started,text_6.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,B0,B1,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,14.269666500011226,None,space,0.5564275000069756,14.269666500011226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,,,electricguitar01.jpg,mummy.jpg,skunk.jpg,mrpotatohead.jpg,seagull.jpg,parachute.jpg,parkingmeter.jpg,statue.jpg,wheelbarrow01.jpg,bacon.jpg,trophy01.jpg,safe.jpg,guitarcase.jpg,showerhead01.jpg,elbow.jpg,foosballtable.jpg,icecube02.jpg,14.940348600008292,17.689719200017862,17.406411200005095,None,0,0,13,17.889853100001346,None,17.889853100001346,None,.\resources\trophy01.jpg,21.38949830000638,None,1,21.38949830000638,None,right,0.4046006000135094,21.38949830000638,None,21.839527600008296,None,21.839527600008296,None,1,right,0.1065490999899339,21.839527600008296,None,21.989626099995803,None,22.989404680003645,None,None,22.989404680003645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.006184199999552,None,space,0.354025200009346,23.006184199999552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,wheelchair.jpg,chefshat.jpg,calendar.jpg,horseshoe.jpg,porcupine.jpg,athleticsock.jpg,tulip02.jpg,lollipop04.jpg,dartboard.jpg,jeans01.jpg,alligator.jpg,flamingo.jpg,shovel01.jpg,tricycle.jpg,knee.jpg,stubbywrench01a.jpg,arrow02.jpg,,,,,0,1,13,,,,,.\resources\alligator.jpg,,,1,,,,,,,,,,,1,,,,,,,30.605595680011902,None,None,30.605595680011902,None,,,,,,,23.439373900007922,26.189619900018442,25.906317700020736,None,0.2,26.42296080000233,None,26.42296080000233,None,29.93898679999984,None,29.93898679999984,None,right,0.5031044000061229,29.93898679999984,None,30.488917600014247,None,30.488917600014247,None,left,0.08915150002576411,30.488917600014247,None,,,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag4,4,4,8,0.19066666667,0.048,0.48,ramp,,,,,0,1,1,1,,,,,,,popcorn.jpg,saltshaker03a.jpg,whiteout.jpg,toucan.jpg,lighthouse.jpg,wheelbarrow01.jpg,eyepatch.jpg,snowboard.jpg,triangle.jpg,wheelchair.jpg,volleyball.jpg,trumpet.jpg,cross01.jpg,firehydrant.jpg,church.jpg,seal.jpg,makiroll.jpg,,,,,1,0,10,,,,,.\resources\snowboard.jpg,,,1,,,,,,,,,,,1,,,,,,,37.438460280012805,None,None,37.438460280012805,None,,,,,,,30.6222901000001,33.37247610001941,33.10584500001278,None,0.19066666667,33.60537590002059,None,33.60537590002059,None,36.25517430002219,None,36.25517430002219,None,left,0.6749254000023939,36.25517430002219,None,36.98849250000785,None,36.98849250000785,None,right,0.42961219997960143,36.98849250000785,None,1.1685037006220584,1.5754408116093372,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag7,7,4,11,0.18133333334,0.046,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,lightswitch01.jpg,sledgehammer.jpg,wheelchair.jpg,tank.jpg,englishcucumber.jpg,pumpkin.jpg,scooter.jpg,fishingrod.jpg,mummy.jpg,ipad02.jpg,snowshovel.jpg,moon.jpg,hand01b.jpg,kiwi03.jpg,wallclock.jpg,pig.jpg,crosscountryski.jpg,,,,,1,0,13,,,,,.\resources\snowshovel.jpg,,,1,,,,,,,,,,,1,,,,,,,44.204704280011356,None,None,44.204704280011356,None,,,,,,,37.45510799999465,40.2054022999946,39.93874390001292,None,0.18133333334,40.43823580001481,None,40.43823580001481,None,43.65472730001784,None,43.65472730001784,None,left,0.379342899977928,43.65472730001784,None,44.08818380002049,None,44.08818380002049,None,right,0.0899963999981992,44.08818380002049,None,0.9755659549041882,2.8617961433732364,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag5,5,5,10,0.17200000001000001,0.044,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,rollerblade.jpg,apron.jpg,jeans01.jpg,callbell.jpg,africanelephant.jpg,moon.jpg,ceilingfan01.jpg,funnel.jpg,dartboard.jpg,crown.jpg,lily.jpg,kneepad01c.jpg,lizard.jpg,popcorn.jpg,witchhat.jpg,doghouse.jpg,accordion01.jpg,,,,,0,0,12,,,,,.\resources\crown.jpg,,,1,,,,,,,,,,,1,,,,,,,50.90422208001837,None,None,50.90422208001837,None,,,,,,,44.22133620001841,46.97157019999577,46.704956200002925,None,0.17200000001000001,47.204435899999226,None,47.204435899999226,None,50.03766230001929,None,50.03766230001929,None,right,0.5644196000066586,50.03766230001929,None,50.65429520001635,None,50.65429520001635,None,right,0.2198903000098653,50.65429520001635,None,0.8003141142168375,4.078791980944136,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag2,2,3,5,0.16266666668000002,0.041999999999999996,0.41999999999999993,ramp,,,,,0,4,4,4,,,,,,,snowman.jpg,fireplace.jpg,ducttape.jpg,musicsheet.jpg,pingpongtable.jpg,cashregister01.jpg,cow.jpg,arrow02.jpg,football.jpg,hulahoop.jpg,candycane01a.jpg,lily.jpg,zipper.jpg,bluecheese.jpg,whiteout.jpg,foosballtable.jpg,surfboard.jpg,,,,,0,1,7,,,,,.\resources\pingpongtable.jpg,,,1,,,,,,,,,,,1,,,,,,,56.987232280022,None,None,56.987232280022,None,,,,,,,50.92109050002182,53.67114990000846,53.40454590000445,None,0.16266666668000002,53.92115999999805,None,53.92115999999805,None,55.57077879999997,None,55.57077879999997,None,right,0.9359009000181686,55.57077879999997,None,56.57059320001281,None,56.57059320001281,None,left,0.39964779998990707,56.57059320001281,None,0.6418885243053285,5.228040693819079,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag3,3,5,8,0.15333333335000002,0.039999999999999994,0.3999999999999999,ramp,,,,,0,5,5,5,,,,,,,snowshoe.jpg,bullet.jpg,hotdogweiner.jpg,lollipop04.jpg,drumset.jpg,parkfountain.jpg,jeep.jpg,bluejay.jpg,daddylonglegs.jpg,ant.jpg,duck01.jpg,skippingrope.jpg,skateboard.jpg,lily.jpg,candycane01a.jpg,acorn.jpg,treadmill.jpg,,,,,0,1,10,,,,,.\resources\bluejay.jpg,,,1,,,,,,,,,,,1,,,,,,,63.3034682800062,None,None,63.3034682800062,None,,,,,,,57.0038320000167,59.75416660000337,59.48748870001873,None,0.15333333335000002,60.004102200007765,None,60.004102200007765,None,62.13709370000288,None,62.13709370000288,None,right,0.697020399995381,62.13709370000288,None,62.88686310002231,None,62.88686310002231,None,left,0.387195299990708,62.88686310002231,None,0.4987846611310814,6.312009912466771,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
AB,lag1,1,4,5,0.14400000002000002,0.03799999999999999,0.3799999999999999,ramp,,,,,0,6,6,6,,,,,,,toolbox02.jpg,cymbal.jpg,trumpet.jpg,musicsheet.jpg,redfox.jpg,anchor.jpg,hockeystick.jpg,noparkingsign.jpg,dartboard.jpg,nosmokingsign.jpg,chair.jpg,peacock.jpg,icecube02.jpg,mrpotatohead.jpg,triangle.jpg,urinal.jpg,sword01.jpg,,,,,0,0,7,,,,,.\resources\redfox.jpg,,,1,,,,,,,,,,,1,,,,,,,68.51980008001556,None,None,68.51980008001556,None,,,,,,,63.320267500006594,66.07039740000619,65.7870597000001,None,0.14400000002000002,66.28664740000386,None,66.28664740000386,None,67.77000150000094,None,67.77000150000094,None,right,0.4240575000003446,67.77000150000094,None,68.2531976000173,None,68.2531976000173,None,right,0.23683909999090247,68.2531976000173,None,0.36961386504337657,7.333788173207075,,001,2021_Mar_24_1041,AB_pic_singleT2,2020.2.10,60.00495641221271,
