trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,displayPicture.started,displayPicture.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,gap120,2,4,0.12,6,103,0.4,0.04,0,0,0,46,5.2576641999185085,None,5.2576641999185085,None,11.209184799925424,None,11.209184799925424,None,left,0.7395940999267623,11.209184799925424,None,12.009160199901089,None,12.009160199901089,None,right,0.8515995000489056,12.009160199901089,None,,001,2021_Mar_15_1128,AB_pic,2020.2.10,60.009133403762334,
AB,prime,4,3,0.0,7,5,0.4,0.04,0,1,1,263,12.909074699971825,None,12.909074699971825,None,18.892052199924365,None,18.892052199924365,None,left,0.6327690000180155,18.892052199924365,None,19.55863809993025,None,19.55863809993025,None,right,0.4621481999056414,19.55863809993025,None,,001,2021_Mar_15_1128,AB_pic,2020.2.10,60.009133403762334,
AB,lag3,3,3,0.0,6,102,0.4,0.04,0,2,2,272,20.058611599961296,None,20.058611599961296,None,26.058236899902113,None,26.058236899902113,None,left,0.5147154999431223,26.058236899902113,None,26.60819899989292,None,26.60819899989292,None,right,0.620642299996689,26.60819899989292,None,,001,2021_Mar_15_1128,AB_pic,2020.2.10,60.009133403762334,
