trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,displayPicture.started,displayPicture.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,gap30,2,3,0.03,5,102,2,0.04,0,0,0,29,5.031682200031355,None,5.031682200031355,9.044798000017181,,001,2021_Mar_15_1107,AB_pic,2020.2.10,59.996208238704895,
AB,T2absent,99,4,0.0,103,103,2,0.04,0,1,1,160,10.06144070008304,10.06144070008304,10.06144070008304,14.061227800091729,,001,2021_Mar_15_1107,AB_pic,2020.2.10,59.996208238704895,
AB,T2absent,99,4,0.0,103,103,2,0.04,0,2,2,73,15.077838900033385,15.077838900033385,15.077838900033385,19.07757990004029,,001,2021_Mar_15_1107,AB_pic,2020.2.10,59.996208238704895,
