trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,phase,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_2.started,option1_2.stopped,option2_2.started,option2_2.stopped,text_5.started,text_5.stopped,displayPicture_2.started,displayPicture_2.stopped,polygon_10.started,polygon_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,6.639653100006399,None,space,1.9591585000016494,6.639653100006399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1100,AB_pic,2020.2.10,59.99613625258106,
AB,lag6,6,5,11,0.2,0.05,0.5,0,0,0,0,,,,,,,,,,,,tulip02.jpg,mouse.jpg,discoball.jpg,anchor.jpg,beerbottle.jpg,basketball01.jpg,foldingchair.jpg,parachute.jpg,triangle.jpg,toyanimal05.jpg,cheetah.jpg,christmastree.jpg,acorn.jpg,smokingpipe.jpg,kneepad01c.jpg,pigeon.jpg,hammerheadshark.jpg,8.677247900006478,11.426631099995575,8.677247900006478,11.426631099995575,11.159987100007129,None,0,1,13,11.643243300000904,None,11.643243300000904,None,.\resources\cheetah.jpg,15.159739499998977,None,1,15.159739499998977,None,right,2.5109794000018155,15.159739499998977,None,17.709518500007107,None,1,17.709518500007107,None,left,0.4331966000027023,17.709518500007107,None,18.176160999995773,None,19.176083399998607,None,None,19.176083399998607,None,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1100,AB_pic,2020.2.10,59.99613625258106,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.19291030000022,None,space,27.26060399999551,19.19291030000022,None,,,,,,,,,,,,001,2021_Mar_17_1100,AB_pic,2020.2.10,59.99613625258106,
,,,,,,,,,,,,,,,,,,,,,,,englishcucumber.jpg,anchor.jpg,frenchfries.jpg,cheetah.jpg,tulip02.jpg,soccerball.jpg,triangle.jpg,hammerheadshark.jpg,ceilingfan01.jpg,ipad02.jpg,kneepad01c.jpg,snowman.jpg,beerbottle.jpg,parachute.jpg,chainsaw.jpg,pigeon.jpg,acorn.jpg,,,,,,,1,0,13,,,,,.\resources\tulip02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.52474969999457,49.27410609999788,46.52474969999457,49.27410609999788,49.00745619999361,None,49.50747399999818,None,49.50747399999818,None,,,,,,,
