trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_2.started,option1_2.stopped,option2_2.started,option2_2.stopped,text_5.started,text_5.stopped,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,displayPicture_3.started,displayPicture_3.stopped,polygon_13.started,polygon_13.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_6.started,polygon_6.stopped,option1_t2_2.started,option1_t2_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,t14,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,6.551650900000823,None,space,1.1763109999883454,6.551650900000823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,,,chair.jpg,key07.jpg,accordion01.jpg,cactus.jpg,cashregister01.jpg,toad.jpg,triangle.jpg,exitsign.jpg,surfboard.jpg,jeep.jpg,whiteout.jpg,fishingrod.jpg,parkingmeter.jpg,horseshoe.jpg,slug.jpg,tiger02.jpg,zipper.jpg,7.78879260001122,10.538866300004884,7.78879260001122,10.538866300004884,10.27225000000908,None,1,0,13,10.772233299998334,None,10.772233299998334,None,.\resources\whiteout.jpg,14.271748400002252,None,1,14.271748400002252,None,left,1.2244592999923043,14.271748400002252,None,15.5216400000063,None,1,15.5216400000063,None,right,0.2223667999933241,15.5216400000063,None,15.788339600010659,None,16.78825694000261,None,None,16.78825694000261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.788242200011155,None,space,0.7701498000096763,16.788242200011155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,parkingmeter.jpg,locker.jpg,zipper.jpg,jellybean.jpg,whiteout.jpg,greatwhiteshark.jpg,pingpongtable.jpg,trophy01.jpg,surfboard.jpg,tiger02.jpg,chair.jpg,key07.jpg,toad.jpg,raccoon.jpg,jeep.jpg,masquerademask01.jpg,recyclingbin.jpg,,,,,,,0,0,13,,,,,.\resources\chair.jpg,,,False,,,,,,,,,True,,,,,,,,,25.104519740001706,None,None,25.104519740001706,None,,,,,,,17.63820690001012,20.38825319999887,17.63820690001012,20.38825319999887,20.121573500000522,None,0.2659272000018973,0.5157881000050111,0.7658858000067994,1.015629200002877,1.2656815999944229,1.5156722999963677,1.7656086000060895,2.0157581999956165,2.2657091000000946,2.5157001000043238,2.7656356999941636,3.0156176000018604,3.265605399996275,3.515667100000428,20.604866400011815,None,20.604866400011815,None,24.13796230001026,None,24.13796230001026,None,right,0.5979623999883188,24.13796230001026,None,24.77127150000888,None,24.77127150000888,None,right,0.3168234999902779,24.77127150000888,None,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag4,4,4,8,0.193334,0.046666667,0.48,ramp,,,,,0,1,1,1,,,,,,,accordion01.jpg,slug.jpg,vulture.jpg,chair.jpg,key07.jpg,masquerademask01.jpg,fishskeleton.jpg,whiteout.jpg,trophy01.jpg,jellybean.jpg,pingpongtable.jpg,toad.jpg,zipper.jpg,recyclingbin.jpg,raccoon.jpg,fishingrod.jpg,greatwhiteshark.jpg,,,,,,,1,1,10,,,,,.\resources\whiteout.jpg,,,True,,,,,,,,,False,,,,,,,,,32.62074243999814,None,None,32.62074243999814,None,,,,,,,25.12133220001124,27.87151620000077,25.12133220001124,27.87151620000077,27.604779700006475,None,0.2473245000001043,0.4806471000047168,0.7306537999975262,0.9639666000002762,1.2139305000018794,1.4472558999987086,1.68057320000662,1.9305437000002712,2.1638299000042025,2.4137902000074973,2.6471435999992536,,,,28.10440650000237,None,28.10440650000237,None,30.770872200009762,None,30.770872200009762,None,left,1.5250654999981634,30.770872200009762,None,32.33741530000407,None,32.33741530000407,None,right,0.26263810000091325,32.33741530000407,None,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag7,7,4,11,0.186668,0.043333334,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,accordion01.jpg,cigar.jpg,chair.jpg,exitsign.jpg,slug.jpg,cactus.jpg,skippingrope.jpg,jellybean.jpg,surfboard.jpg,key07.jpg,toad.jpg,jeep.jpg,whiteout.jpg,greatwhiteshark.jpg,vulture.jpg,recyclingbin.jpg,masquerademask01.jpg,,,,,,,1,1,13,,,,,.\resources\toad.jpg,,,True,,,,,,,,,False,,,,,,,,,40.00358923999738,None,None,40.00358923999738,None,,,,,,,32.63740870000038,35.3872296000045,32.63740870000038,35.3872296000045,35.12058600000455,None,0.23150670000177342,0.46481970000604633,0.6981429000006756,0.93145160000131,1.1644125000020722,1.3810173000092618,1.6143096000014339,1.8476490000030026,2.081030000001192,2.3142862000095192,2.5310066000092775,2.764244100006181,2.9975864000007277,3.230867699996452,35.620567800011486,None,35.620567800011486,None,38.870474399998784,None,38.870474399998784,None,left,0.8574786000099266,38.870474399998784,None,39.77027680000174,None,39.77027680000174,None,left,0.21377590000338387,39.77027680000174,None,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag5,5,5,10,0.180002,0.040000001,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,fishskeleton.jpg,recyclingbin.jpg,cactus.jpg,tiger02.jpg,masquerademask01.jpg,surfboard.jpg,key07.jpg,trophy01.jpg,cigar.jpg,cashregister01.jpg,toad.jpg,zipper.jpg,triangle.jpg,chair.jpg,jeep.jpg,skippingrope.jpg,greatwhiteshark.jpg,,,,,,,0,0,12,,,,,.\resources\cashregister01.jpg,,,False,,,,,,,,,True,,,,,,,,,46.9198093399973,None,None,46.9198093399973,None,,,,,,,40.02026150000165,42.7705042000016,40.02026150000165,42.7705042000016,42.50343160000921,None,0.23152260000642855,0.44779980000748765,0.6644176000118023,0.881078600010369,1.11448350000137,1.3310982000111835,1.5477384000114398,1.7644148000108544,1.981054200005019,2.214328400004888,2.431001400007517,2.6476264000084484,2.864235800007009,,43.003384800002095,None,43.003384800002095,None,45.886548599999514,None,45.886548599999514,None,right,0.7373942000122042,45.886548599999514,None,46.66996410000138,None,46.66996410000138,None,right,0.22597429998859297,46.66996410000138,None,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag2,2,3,5,0.173336,0.036666668,0.41999999999999993,ramp,,,,,0,4,4,4,,,,,,,greatwhiteshark.jpg,parkingmeter.jpg,whiteout.jpg,masquerademask01.jpg,boxingglove01.jpg,key07.jpg,triangle.jpg,cigar.jpg,fishingrod.jpg,exitsign.jpg,trophy01.jpg,toad.jpg,horseshoe.jpg,jellybean.jpg,pingpongtable.jpg,vulture.jpg,surfboard.jpg,,,,,,,0,0,7,,,,,.\resources\boxingglove01.jpg,,,False,,,,,,,,,True,,,,,,,,,52.48609713999758,None,None,52.48609713999758,None,,,,,,,46.93647090000741,49.686715300005744,46.93647090000741,49.686715300005744,49.41963499999838,None,0.21453749999636784,0.4312042000092333,0.6312628000014229,0.8473843999963719,1.0640645999956178,1.263988499995321,1.4806528000044636,1.6806504999985918,,,,,,,49.91959800000768,None,49.91959800000768,None,51.6196401000052,None,51.6196401000052,None,right,0.4923790999891935,51.6196401000052,None,52.152958400009084,None,52.152958400009084,None,right,0.311073300006683,52.152958400009084,None,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag3,3,5,8,0.16666999999999998,0.033333335,0.3999999999999999,ramp,,,,,0,5,5,5,,,,,,,cactus.jpg,locker.jpg,recyclingbin.jpg,fishingrod.jpg,surfboard.jpg,slug.jpg,skippingrope.jpg,masquerademask01.jpg,jeep.jpg,vulture.jpg,exitsign.jpg,cigar.jpg,raccoon.jpg,jellybean.jpg,horseshoe.jpg,toad.jpg,chair.jpg,,,,,,,0,0,10,,,,,.\resources\masquerademask01.jpg,,,False,,,,,,,,,True,,,,,,,,,58.65237044000969,None,None,58.65237044000969,None,,,,,,,52.50276790000498,55.25305030000163,52.50276790000498,55.25305030000163,54.98637480000616,None,0.21374200000718702,0.4137555000052089,0.6137048000091454,0.8137191999994684,1.0136859000049299,1.2136591000016779,1.4136641000077361,1.6136326999985613,1.8136244000052102,2.013605700005428,2.213626299999305,,,,55.485897700011265,None,55.485897700011265,None,57.71920340000361,None,57.71920340000361,None,right,0.6327999999921303,57.71920340000361,None,58.38571120001143,None,58.38571120001143,None,right,0.24627409999084193,58.38571120001143,None,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
AB,lag1,1,4,5,0.16000399999999998,0.030000001999999998,0.3799999999999999,ramp,,,,,0,6,6,6,,,,,,,jeep.jpg,triangle.jpg,boxingglove01.jpg,fishingrod.jpg,slug.jpg,whiteout.jpg,accordion01.jpg,cigar.jpg,greatwhiteshark.jpg,jellybean.jpg,surfboard.jpg,locker.jpg,pingpongtable.jpg,parkingmeter.jpg,horseshoe.jpg,zipper.jpg,cashregister01.jpg,,,,,,,0,1,7,,,,,.\resources\slug.jpg,,,False,,,,,,,,,False,,,,,,,,,64.4020802399973,None,None,64.4020802399973,None,,,,,,,58.66904259999865,61.41887280000083,58.66904259999865,61.41887280000083,61.152190599997994,None,0.19765430000552442,0.38097620000189636,0.5810017000039807,0.7642392999987351,0.9642849999945611,1.1476435999938985,1.3309088999958476,1.5308943999989424,,,,,,,61.65217260000645,None,61.65217260000645,None,63.20221709999896,None,63.20221709999896,None,right,0.8936783999961335,63.20221709999896,None,64.1355184999993,None,64.1355184999993,None,left,0.24039220000850037,64.1355184999993,None,,,001,2021_Mar_17_1125,AB_pic,2020.2.10,59.985087710613904,
