trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,lastPresent,polygon.started,polygon.stopped,polygon_3.started,polygon_3.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,opt2_t1,opt3_t1,opt4_t1,polygon_4.started,polygon_4.stopped,option4_t1.started,option4_t1.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,option3_t1.started,option3_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,option3_t2.started,option3_t2.stopped,option4_t2.started,option4_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag4,4,4,8,0.1,0.05,0,0,0,98,jeep.jpg,eyepatch.jpg,waterfountain02.jpg,grizzly.jpg,parkfountain.jpg,vulture.jpg,barrel01.jpg,spiderweb.jpg,zipper.jpg,dromedary.jpg,worldmap.jpg,pingpongtable.jpg,christmastree.jpg,porcupine.jpg,sheep.jpg,wheelchair.jpg,bluejay.jpg,10,5.371503000031225,None,5.371503000031225,None,5.371503000031225,None,5.371503000031225,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\bluejay.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\wheelchair.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\grizzly.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\spiderweb.jpg,6.9785161999752745,None,6.9785161999752745,None,6.9785161999752745,None,6.9785161999752745,None,6.9785161999752745,None,left,1.391000600066036,6.9785161999752745,None,8.428061399958096,9.427971399971284,8.428061399958096,None,8.428061399958096,None,8.428061399958096,None,8.428061399958096,None,down,1.4218959000427276,8.428061399958096,None,9.877997619996313,None,None,9.877997619996313,None,,001,2021_Mar_15_1527,AB_pic,2020.2.10,60.00384021913262,
AB,lag1,1,5,6,0.1,0.05,0,1,1,96,squid.jpg,recyclingbin.jpg,bluejay.jpg,jeep.jpg,mummy.jpg,bacon.jpg,christmastree.jpg,zipper.jpg,kangaroo.jpg,waterfountain02.jpg,wheelchair.jpg,grizzly.jpg,toyanimal05.jpg,moon.jpg,motorcycle.jpg,worldmap.jpg,cocktailshrimp02.jpg,8,9.89462509995792,None,9.89462509995792,None,9.89462509995792,None,9.89462509995792,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\cocktailshrimp02.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\bacon.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\worldmap.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\mummy.jpg,11.261248299968429,None,11.261248299968429,None,11.261248299968429,None,11.261248299968429,None,11.261248299968429,None,up,3.8924889999907464,11.261248299968429,None,15.194305300014094,16.194249900057912,15.194305300014094,None,15.194305300014094,None,15.194305300014094,None,15.194305300014094,None,down,1.8313389000250027,15.194305300014094,None,17.044196719967296,None,None,17.044196719967296,None,,001,2021_Mar_15_1527,AB_pic,2020.2.10,60.00384021913262,
,,,,,,,,,,,grizzly.jpg,cocktailshrimp02.jpg,microphone01.jpg,bacon.jpg,christmastree.jpg,jeep.jpg,spiderweb.jpg,sheep.jpg,porcupine.jpg,pingpongtable.jpg,squid.jpg,eyepatch.jpg,barrel01.jpg,toyanimal05.jpg,kangaroo.jpg,motorcycle.jpg,worldmap.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
