trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,thisRow.t,notes,instructions.started,key_resp_4.started,textbox.started,instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,options.started,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,text_2.started,option1.stopped,text_2.stopped,options.stopped,trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.00705979997292161,0.03539510001428425,0.03539510001428425,2.9822131998371333,space,2.9375273000914603,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-12-01_17h22.07.734,AB_pic_singleT2,2023.2.2,59.6256700529076,2023-12-01 17h22.25.078396 -0600,
,,,,,,,,,,,,3.080424000043422,,,,,,,,,3.0165309000294656,ear.jpg,statue.jpg,skunk.jpg,jellybean.jpg,saltshaker03a.jpg,parkingmeter.jpg,tricycle.jpg,seagull.jpg,lawnmower.jpg,horseshoe.jpg,candycane01a.jpg,knee.jpg,acousticguitar02.jpg,grizzly.jpg,christmaslights.jpg,electrictoothbrush01c.jpg,sword01.jpg,3.080424000043422,5.483726599952206,5.8330292999744415,,5.967142499983311,5.967154099838808,,,,,,,,
