trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.789827500004321,None,space,1.2146995000075549,5.789827500004321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1010,AB_pic,2020.2.10,59.97782019728804,
AB,lag5,5,4,9,0.5,0.05,0.5,0,0,0,11,,,,,,,table01.jpg,birthdaycandle.jpg,giraffe.jpg,electrictoothbrush01c.jpg,xylophone.jpg,mrpotatohead.jpg,snowman.jpg,horse.jpg,frisbee.jpg,tortoise01.jpg,surfboard.jpg,helicopter.jpg,eye.jpg,safe.jpg,rollerblade.jpg,toilet.jpg,kneepad01c.jpg,7.0732751000032295,9.823345500000869,7.0732751000032295,9.823345500000869,9.540039100000286,None,1,0,11,10.040001900008065,None,10.040001900008065,None,.\resources\frisbee.jpg,16.63930550000805,None,True,16.63930550000805,None,left,0.9571689000003971,16.63930550000805,None,17.62259610000183,None,False,17.62259610000183,None,right,0.5579086000070674,17.62259610000183,None,18.205901499997708,None,19.205828869996186,None,None,19.205828869996186,None,,001,2021_Mar_17_1010,AB_pic,2020.2.10,59.97782019728804,
,,,,,,,,,,,,,,,,,,kneepad01c.jpg,cheetah.jpg,electrictoothbrush01c.jpg,table01.jpg,penguin.jpg,lip.jpg,birthdaycandle.jpg,boat.jpg,skunk.jpg,giraffe.jpg,tennisracket.jpg,baseballbat.jpg,mrpotatohead.jpg,shovel01.jpg,frisbee.jpg,horse.jpg,surfboard.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
