trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_2.started,option1_2.stopped,option2_2.started,option2_2.stopped,text_5.started,text_5.stopped,displayPicture_2.started,displayPicture_2.stopped,polygon_10.started,polygon_10.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_6.started,polygon_6.stopped,option1_t2_2.started,option1_t2_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,7.257089599996107,None,space,0.8896406999992905,7.257089599996107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1105,AB_pic,2020.2.10,59.99995199618046,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,,,ear.jpg,butterfly.jpg,pig.jpg,armadillo.jpg,kite.jpg,trampoline.jpg,spiderweb.jpg,cheetah.jpg,xylophone.jpg,jeans01.jpg,electricguitar01.jpg,rose.jpg,key07.jpg,totempole.jpg,doghouse.jpg,cow.jpg,jellyfish.jpg,8.21738460000779,10.967264699997031,8.21738460000779,10.967264699997031,10.700626200006809,None,1,0,13,11.183911500003887,None,11.183911500003887,None,.\resources\electricguitar01.jpg,14.700303699995857,None,1,14.700303699995857,None,left,0.9264050000056159,14.700303699995857,None,15.666868900007103,None,1,15.666868900007103,None,right,0.28792210000392515,15.666868900007103,None,16.000231099998928,None,17.00018336000212,None,None,17.00018336000212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1105,AB_pic,2020.2.10,59.99995199618046,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00016300000425,None,space,1.1613024999969639,17.00016300000425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1105,AB_pic,2020.2.10,59.99995199618046,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,nosmokingsign.jpg,xylophone.jpg,drumstick.jpg,nunchuk.jpg,kite.jpg,dalmatian.jpg,rollerblade.jpg,rose.jpg,candycane01a.jpg,polarbear.jpg,ear.jpg,witchhat.jpg,jellyfish.jpg,pig.jpg,tortoise01.jpg,car.jpg,spiderweb.jpg,,,,,,,0,0,13,,,,,.\resources\ear.jpg,,,False,,,,,,,,,True,,,,,,,,,23.033055860002058,None,None,23.033055860002058,None,,,,,,,18.23338020000665,20.983580900006928,18.23338020000665,20.983580900006928,20.716929200003506,None,21.19981629999529,None,21.19981629999529,None,21.68357819999801,None,21.68357819999801,None,right,1.0631235000037123,21.68357819999801,None,22.7830757000047,None,22.7830757000047,None,left,0.21960860000399407,22.7830757000047,None,,001,2021_Mar_17_1105,AB_pic,2020.2.10,59.99995199618046,
AB,lag4,4,4,8,0.193334,0.046666667,0.48,ramp,,,,,0,1,1,1,,,,,,,electricguitar01.jpg,witchhat.jpg,armadillo.jpg,pig.jpg,candycane01a.jpg,xylophone.jpg,recyclingbin.jpg,jeans01.jpg,cow.jpg,nunchuk.jpg,jellyfish.jpg,drumstick.jpg,rollerblade.jpg,totempole.jpg,butterfly.jpg,rose.jpg,kite.jpg,,,,,,,0,1,10,,,,,.\resources\jeans01.jpg,,,False,,,,,,,,,False,,,,,,,,,27.499401259998557,None,None,27.499401259998557,None,,,,,,,23.04972789999738,25.79993039999681,23.04972789999738,25.79993039999681,25.53328679999686,None,26.032858999999007,None,26.032858999999007,None,26.38280669999949,None,26.38280669999949,None,left,0.9078663999971468,26.38280669999949,None,27.316102500000852,None,27.316102500000852,None,right,0.15857729999697767,27.316102500000852,None,,001,2021_Mar_17_1105,AB_pic,2020.2.10,59.99995199618046,
,,,,,,,,,,,,,,,,,,,,,,,car.jpg,rollerblade.jpg,dalmatian.jpg,nunchuk.jpg,key07.jpg,candycane01a.jpg,jeans01.jpg,xylophone.jpg,pig.jpg,baseballbat.jpg,ear.jpg,cheetah.jpg,polarbear.jpg,totempole.jpg,jellyfish.jpg,pooltable.jpg,trampoline.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
