trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag2,2,4,0,6,103,0.2,0.15,0,0,0,97,5.4476509999949485,None,5.4476509999949485,None,5.4476509999949485,None,10.645446499926038,None,10.645446499926038,None,left,1.2394176999805495,10.645446499926038,None,11.928656699950807,None,11.928656699950807,None,right,1.2841387999942526,11.928656699950807,None,,001,2021_Mar_15_1155,AB_pic,2020.2.10,59.99937598776864,
AB,lag7,7,4,0,11,103,0.2,0.15,0,1,1,119,13.245330299949273,None,13.245330299949273,None,13.245330299949273,None,18.494999999995343,None,18.494999999995343,None,left,0.5497604999691248,18.494999999995343,None,19.061604999937117,None,19.061604999937117,None,right,0.45529870002064854,19.061604999937117,None,,001,2021_Mar_15_1155,AB_pic,2020.2.10,59.99937598776864,
AB,lag1,1,3,0,4,102,0.2,0.15,0,2,2,15,19.544868499971926,None,19.544868499971926,None,19.544868499971926,None,24.79458019998856,None,24.79458019998856,None,left,0.6821994000347331,24.79458019998856,None,25.5111598999938,None,25.5111598999938,None,right,1.877702199970372,25.5111598999938,None,,001,2021_Mar_15_1155,AB_pic,2020.2.10,59.99937598776864,
AB,lag6,6,3,0,9,102,0.2,0.15,0,3,3,101,27.411017299978994,None,27.411017299978994,None,27.411017299978994,None,32.66071939992253,None,32.66071939992253,None,left,0.4400935999583453,32.66071939992253,None,33.12732520001009,None,33.12732520001009,None,right,0.3414694999810308,33.12732520001009,None,,001,2021_Mar_15_1155,AB_pic,2020.2.10,59.99937598776864,
AB,lag3,3,4,0,7,103,0.2,0.15,0,4,4,115,33.49399739992805,None,33.49399739992805,None,33.49399739992805,None,38.760321700014174,None,38.760321700014174,None,left,0.6044588000513613,38.760321700014174,None,39.41026139992755,None,39.41026139992755,None,right,0.2585909999907017,39.41026139992755,None,,001,2021_Mar_15_1155,AB_pic,2020.2.10,59.99937598776864,
AB,lag5,5,3,0,8,102,0.2,0.15,0,5,5,53,39.69363319990225,None,39.69363319990225,None,39.69363319990225,None,44.943266499903984,None,44.943266499903984,None,left,0.3416247999994084,44.943266499903984,None,45.309896699967794,None,45.309896699967794,None,right,0.5188214000081643,45.309896699967794,None,,001,2021_Mar_15_1155,AB_pic,2020.2.10,59.99937598776864,
AB,lag2,2,5,0,7,104,0.2,0.15,0,6,6,32,45.85984299995471,None,45.85984299995471,None,45.85984299995471,None,51.109500699909404,None,51.109500699909404,None,right,0.5672804999630898,51.109500699909404,None,51.692800499964505,None,51.692800499964505,None,left,0.5440918999956921,51.692800499964505,None,,001,2021_Mar_15_1155,AB_pic,2020.2.10,59.99937598776864,
