trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.002928200003225,None,space,2.333175099993241,6.002928200003225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1030,AB_pic,2020.2.10,60.00679277001866,
AB,lag6,6,5,11,0.5,0.05,0.5,0,0,0,8,,,,,,,totempole.jpg,eye.jpg,makiroll.jpg,beerbottle.jpg,callbell.jpg,swing.jpg,boat.jpg,bull.jpg,crosscountryski.jpg,bathtub.jpg,electricguitar01.jpg,porcupine.jpg,rose.jpg,birdnest.jpg,scooter.jpg,statue.jpg,fridge.jpg,8.402642700006254,11.152786499995273,8.402642700006254,11.152786499995273,10.886167499993462,None,0,0,13,11.369413199994597,None,11.369413199994597,None,.\resources\electricguitar01.jpg,19.085708800004795,None,1,19.085708800004795,None,right,0.4984159999876283,19.085708800004795,None,19.618958599996404,None,1,19.618958599996404,None,right,0.30116519999864977,19.618958599996404,None,19.96877890000178,None,20.968713210006534,None,None,20.968713210006534,None,,001,2021_Mar_17_1030,AB_pic,2020.2.10,60.00679277001866,
AB,lag6,6,5,11,0.5,0.05,0.5,0,1,1,16,,,,,,,pokerchips.jpg,callbell.jpg,frisbee.jpg,waterfountain02.jpg,jeep.jpg,statue.jpg,birdhouse.jpg,rubikcube.jpg,eye.jpg,seal.jpg,bathtub.jpg,scooter.jpg,makiroll.jpg,rose.jpg,swing.jpg,electricguitar01.jpg,horseshoe.jpg,20.98539410000376,23.735249000004842,20.98539410000376,23.735249000004842,23.451912799995625,None,0,1,13,23.95185899999342,None,23.95185899999342,None,.\resources\bathtub.jpg,31.66799549999996,None,1,31.66799549999996,None,right,1.3240550000045914,31.66799549999996,None,33.03457730000082,None,1,33.03457730000082,None,left,0.3654351000004681,33.03457730000082,None,33.41783839999698,None,34.41779670999531,None,None,34.41779670999531,None,,001,2021_Mar_17_1030,AB_pic,2020.2.10,60.00679277001866,
AB,lag5,5,4,9,0.5,0.05,0.5,0,2,2,23,,,,,,,cloud.jpg,windmill.jpg,fridge.jpg,frisbee.jpg,rose.jpg,swing.jpg,pokerchips.jpg,seal.jpg,callbell.jpg,crosscountryski.jpg,rubikcube.jpg,beerbottle.jpg,statue.jpg,birdhouse.jpg,waterfountain02.jpg,africanelephant.jpg,bull.jpg,34.43448320000607,37.18470100000559,34.43448320000607,37.18470100000559,36.90138239999942,None,1,0,11,37.40094680000038,None,37.40094680000038,None,.\resources\callbell.jpg,44.01722179999342,None,1,44.01722179999342,None,left,0.6388287000008859,44.01722179999342,None,44.68377800000599,None,1,44.68377800000599,None,right,0.2682261999871116,44.68377800000599,None,44.98373039999569,None,45.983707510006205,None,None,45.983707510006205,None,,001,2021_Mar_17_1030,AB_pic,2020.2.10,60.00679277001866,
AB,lag1,1,3,4,0.5,0.05,0.5,0,3,3,3,,,,,,,birdnest.jpg,makiroll.jpg,hulahoop.jpg,pokerchips.jpg,jeep.jpg,birdhouse.jpg,beerbottle.jpg,totempole.jpg,cloud.jpg,bathtub.jpg,bull.jpg,porcupine.jpg,africanelephant.jpg,swing.jpg,eye.jpg,rose.jpg,windmill.jpg,46.01718439999968,48.76726819999749,46.01718439999968,48.76726819999749,48.483961799996905,None,1,1,6,48.9835427999933,None,48.9835427999933,None,.\resources\pokerchips.jpg,52.833251500007464,None,0,52.833251500007464,None,right,1.1028164000017568,52.833251500007464,None,53.98332010000013,None,1,53.98332010000013,None,left,0.5047772999969311,53.98332010000013,None,54.53316900000209,None,55.53309341000422,None,None,55.53309341000422,None,,001,2021_Mar_17_1030,AB_pic,2020.2.10,60.00679277001866,
,,,,,,,,,,,,,,,,,,boat.jpg,birdnest.jpg,rose.jpg,rubikcube.jpg,callbell.jpg,swing.jpg,statue.jpg,beerbottle.jpg,cloud.jpg,africanelephant.jpg,bathtub.jpg,seal.jpg,birdhouse.jpg,eye.jpg,scooter.jpg,windmill.jpg,crosscountryski.jpg,55.53307049999421,58.28329409999424,55.53307049999421,58.28329409999424,58.016656499996316,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
