trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.0804136999940965,None,space,1.4500368000008166,6.0804136999940965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1027,AB_pic,2020.2.10,60.01097000676046,
AB,lag2,2,4,6,0.5,0.05,0.5,0,0,0,27,,,,,,,knee.jpg,arrow02.jpg,seal.jpg,mrpotatohead.jpg,crab01.jpg,rubikcube.jpg,fortunecookie.jpg,elbow.jpg,bullet.jpg,tennisracket.jpg,seagull.jpg,acousticguitar02.jpg,cheetah.jpg,leafrake.jpg,skateboard.jpg,beerbottle.jpg,africanelephant.jpg,7.604624100000365,10.354062899990822,7.604624100000365,10.354062899990822,10.08739999998943,None,1,0,8,10.587545799993677,None,10.587545799993677,None,.\resources\rubikcube.jpg,15.537000500000431,None,1,15.537000500000431,None,left,1.2814273000112735,15.537000500000431,None,16.85358309998992,None,0,16.85358309998992,None,right,0.41279600000416394,16.85358309998992,None,17.303557699997327,None,18.303527029995166,None,None,18.303527029995166,None,,001,2021_Mar_17_1027,AB_pic,2020.2.10,60.01097000676046,
,,,,,,,,,,,,,,,,,,fortunecookie.jpg,bowtie.jpg,bullet.jpg,leafrake.jpg,elbow.jpg,birdnest.jpg,dolphin01.jpg,rubikcube.jpg,lighthouse.jpg,seal.jpg,knee.jpg,seagull.jpg,cheetah.jpg,africanelephant.jpg,mrpotatohead.jpg,tennisracket.jpg,athleticsock.jpg,18.3201679999911,21.069968899988453,18.3201679999911,21.069968899988453,20.786674599992693,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
