trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,polygon.started,polygon.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,opt2_t1,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag1,1,5,0,6,104,0.2,0.15,0,0,0,83,hulahoop.jpg,dromedary.jpg,ant.jpg,turnstile.jpg,nose.jpg,platypus.jpg,rubikcube.jpg,fireplace.jpg,boat.jpg,urinal.jpg,chair.jpg,dolphin01.jpg,recyclingbin.jpg,parkingmeter.jpg,tricycle.jpg,trumpet.jpg,spiderweb.jpg,5.212721999967471,None,5.212721999967471,None,5.212721999967471,None,True,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\nose.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\trumpet.jpg,10.404586200020276,None,10.404586200020276,None,right,1.05834930005949,10.404586200020276,None,11.504486199934036,None,11.504486199934036,None,right,1.2706129999132827,11.504486199934036,None,12.80449300003238,12.821154900011607,space,2.8744417999405414,12.80449300003238,None,,001,2021_Mar_15_1347,AB_pic,2020.2.10,59.99671218307543,
,,,,,,,,,,,,,candycane01a.jpg,eiffeltower.jpg,chair.jpg,platypus.jpg,spiderweb.jpg,acorn.jpg,parkingmeter.jpg,jackrabbit.jpg,showerhead01.jpg,tricycle.jpg,dolphin01.jpg,ladybug03.jpg,bat.jpg,lollipop04.jpg,dromedary.jpg,masquerademask01.jpg,sausage.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
