trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_2.started,option1_2.stopped,option2_2.started,option2_2.stopped,text_5.started,text_5.stopped,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,displayPicture_3.started,displayPicture_3.stopped,polygon_13.started,polygon_13.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_6.started,polygon_6.stopped,option1_t2_2.started,option1_t2_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,t14,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,9.661926800006768,None,space,88.98211480000464,9.661926800006768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,0,0,3,,,,,,,,,,,lip.jpg,steeringwheel.jpg,callbell.jpg,hulahoop.jpg,safe.jpg,dandelion.jpg,waterfall.jpg,flag.jpg,pirateflag.jpg,xylophone.jpg,statue.jpg,ceilingfan01.jpg,bluecheese.jpg,tarantula.jpg,hammerheadshark.jpg,toad.jpg,windshieldwiper02.jpg,98.71794870001031,101.46733010000025,98.71794870001031,101.46733010000025,101.2007023000042,None,1,1,6,101.68398800000432,None,101.68398800000432,None,.\resources\hulahoop.jpg,103.45053700001154,None,1,103.45053700001154,None,left,10.089620099999593,103.45053700001154,None,113.58325720000721,None,1,113.58325720000721,None,left,3.2208685999939917,113.58325720000721,None,116.84964880000916,None,117.84957128000823,None,None,117.84957128000823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,1,1,5,,,,,,,,,,,bluecheese.jpg,tire.jpg,safe.jpg,ceilingfan01.jpg,steeringwheel.jpg,spear02.jpg,dragonfly01.jpg,dalmatian.jpg,horseshoe.jpg,hammerheadshark.jpg,skateboard.jpg,pirateflag.jpg,waterfall.jpg,statue.jpg,hulahoop.jpg,volleyball.jpg,sandcastle.jpg,117.86624590000429,120.61609090000275,117.86624590000429,120.61609090000275,120.3494081000099,None,0,1,8,120.8493989000126,None,120.8493989000126,None,.\resources\spear02.jpg,123.11591990001034,None,1,123.11591990001034,None,right,0.6640697000111686,123.11591990001034,None,123.81587430000945,None,0,123.81587430000945,None,right,0.8921212999994168,123.81587430000945,None,124.74912300000142,None,125.74905308000015,None,None,125.74905308000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,2,2,11,,,,,,,,,,,toad.jpg,spear02.jpg,ceilingfan01.jpg,sandcastle.jpg,windshieldwiper02.jpg,dalmatian.jpg,bluecheese.jpg,hammerheadshark.jpg,dragonfly01.jpg,jellybean.jpg,sausage.jpg,volleyball.jpg,football.jpg,dandelion.jpg,steeringwheel.jpg,waterfall.jpg,safe.jpg,125.76568390001194,128.5155330000125,125.76568390001194,128.5155330000125,128.23221900001226,None,1,1,11,128.7321937000088,None,128.7321937000088,None,.\resources\dragonfly01.jpg,131.74866110000585,None,1,131.74866110000585,None,left,1.1433476000092924,131.74866110000585,None,132.9318945999985,None,1,132.9318945999985,None,left,1.2482793000090169,132.9318945999985,None,134.21529350000492,None,135.21524017999909,None,None,135.21524017999909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag7,7,5,12,0.2,0.05,0.5,,0,3,3,7,,,,,,,,,,,dragonfly01.jpg,sausage.jpg,hammerheadshark.jpg,horseshoe.jpg,porcupine.jpg,christmastree.jpg,dandelion.jpg,safe.jpg,windshieldwiper02.jpg,tarantula.jpg,toad.jpg,jellybean.jpg,skateboard.jpg,pirateflag.jpg,steeringwheel.jpg,football.jpg,lip.jpg,135.23180280000088,137.9815784000093,135.23180280000088,137.9815784000093,137.71492260000377,None,1,1,14,138.21489430000656,None,138.21489430000656,None,.\resources\jellybean.jpg,141.98131020000437,None,1,141.98131020000437,None,left,0.7826666000037221,141.98131020000437,None,142.7979278999992,None,1,142.7979278999992,None,left,0.862193799999659,142.7979278999992,None,143.6811982000072,None,144.68113687999866,None,None,144.68113687999866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,4,4,8,,,,,,,,,,,flag.jpg,volleyball.jpg,tarantula.jpg,ceilingfan01.jpg,toad.jpg,football.jpg,bluecheese.jpg,pirateflag.jpg,horseshoe.jpg,dragonfly01.jpg,callbell.jpg,dandelion.jpg,waterfall.jpg,safe.jpg,tire.jpg,porcupine.jpg,sandcastle.jpg,144.6978009000013,147.44763280000188,144.6978009000013,147.44763280000188,147.16430670001137,None,1,0,13,147.66426770000544,None,147.66426770000544,None,.\resources\callbell.jpg,151.18069820001256,None,1,151.18069820001256,None,left,0.9835013999982039,151.18069820001256,None,152.1974678000115,None,1,152.1974678000115,None,right,0.7345244000025559,152.1974678000115,None,152.94725460000336,None,153.94719088000565,None,None,153.94719088000565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag4,4,3,7,0.2,0.05,0.5,,0,5,5,1,,,,,,,,,,,dandelion.jpg,horseshoe.jpg,skateboard.jpg,dragonfly01.jpg,steeringwheel.jpg,spear02.jpg,christmastree.jpg,statue.jpg,tarantula.jpg,porcupine.jpg,callbell.jpg,waterfall.jpg,flag.jpg,jellybean.jpg,volleyball.jpg,dalmatian.jpg,tire.jpg,153.96387340000365,156.7136759999994,153.96387340000365,156.7136759999994,156.43035170000803,None,1,0,9,156.9303232000093,None,156.9303232000093,None,.\resources\christmastree.jpg,159.4468307000061,None,1,159.4468307000061,None,left,1.7891592999949353,159.4468307000061,None,161.28003040001204,None,1,161.28003040001204,None,right,0.48392389999935403,161.28003040001204,None,161.77999980001186,None,162.7799193800034,None,None,162.7799193800034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,6,6,9,,,,,,,,,,,hulahoop.jpg,toad.jpg,football.jpg,callbell.jpg,dalmatian.jpg,dragonfly01.jpg,sandcastle.jpg,hammerheadshark.jpg,steeringwheel.jpg,lip.jpg,ceilingfan01.jpg,waterfall.jpg,safe.jpg,xylophone.jpg,pirateflag.jpg,christmastree.jpg,windshieldwiper02.jpg,162.79660560000048,165.54643610000494,162.79660560000048,165.54643610000494,165.2631365999987,None,0,0,9,165.76310029999877,None,165.76310029999877,None,.\resources\sandcastle.jpg,168.27960520000488,None,1,168.27960520000488,None,right,1.2203613000019686,168.27960520000488,None,169.5461207000044,None,1,169.5461207000044,None,right,0.4259693000058178,169.5461207000044,None,169.99612210001214,None,170.99604388000589,None,None,170.99604388000589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,7,7,12,,,,,,,,,,,flag.jpg,jellybean.jpg,volleyball.jpg,pirateflag.jpg,christmastree.jpg,toad.jpg,sandcastle.jpg,football.jpg,dalmatian.jpg,callbell.jpg,tire.jpg,ceilingfan01.jpg,sausage.jpg,spear02.jpg,dandelion.jpg,waterfall.jpg,hammerheadshark.jpg,171.01272840000456,173.76253649999853,171.01272840000456,173.76253649999853,173.4792221000098,None,1,1,7,173.97921410000708,None,173.97921410000708,None,.\resources\christmastree.jpg,175.99569140000676,None,1,175.99569140000676,None,left,1.2162695000006352,175.99569140000676,None,177.24566420000338,None,1,177.24566420000338,None,left,0.7903332999994745,177.24566420000338,None,178.06225420000555,None,179.06221578001131,None,None,179.06221578001131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
AB,lag2,2,3,5,0.2,0.05,0.5,,0,8,8,4,,,,,,,,,,,ceilingfan01.jpg,hulahoop.jpg,bluecheese.jpg,volleyball.jpg,toad.jpg,dragonfly01.jpg,tire.jpg,pirateflag.jpg,dalmatian.jpg,spear02.jpg,sausage.jpg,dandelion.jpg,flag.jpg,horseshoe.jpg,windshieldwiper02.jpg,callbell.jpg,tarantula.jpg,179.0788648000016,181.8286703000049,179.0788648000016,181.8286703000049,181.54535120000946,None,0,1,7,182.04532499999914,None,182.04532499999914,None,.\resources\toad.jpg,184.06185570001253,None,0,184.06185570001253,None,left,0.9661336999997729,184.06185570001253,None,185.0618009000027,None,0,185.0618009000027,None,right,0.5501806999964174,185.0618009000027,None,185.64509060001,None,186.64503548000502,None,None,186.64503548000502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex,001,2021_Mar_17_1403,AB_pic,2020.2.10,60.00096001393897,
