trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,lastPresent,polygon.started,polygon.stopped,polygon_3.started,polygon_3.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,opt2_t1,opt3_t1,opt4_t1,option4_t1.started,option4_t1.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,option3_t1.started,option3_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag4,4,3,7,0.2,0.05,0,0,0,3,badmintonracket.jpg,stool01.jpg,squirrel.jpg,locker.jpg,knee.jpg,boxingglove01.jpg,jackrabbit.jpg,honeybee.jpg,tire.jpg,kiwi03.jpg,granolabar01.jpg,daddylonglegs.jpg,recyclingbin.jpg,leafblower01.jpg,beerbottle.jpg,humanskeleton.jpg,parrot01.jpg,9,5.343681999947876,None,5.343681999947876,None,5.343681999947876,None,5.343681999947876,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\humanskeleton.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\squirrel.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\humanskeleton.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\squirrel.jpg,7.77997759997379,None,7.77997759997379,None,7.77997759997379,None,7.77997759997379,None,left,4.7243402999592945,7.77997759997379,None,12.546330800047144,None,12.546330800047144,None,left,2.301941099925898,12.546330800047144,None,14.879505469999277,None,None,14.879505469999277,None,,001,2021_Mar_15_1510,AB_pic,2020.2.10,59.968504580822305,
,,,,,,,,,,,chimney.jpg,cymbal.jpg,cashregister01.jpg,knee.jpg,rubikcube.jpg,tire.jpg,honeybee.jpg,granolabar01.jpg,golfball.jpg,athleticsock.jpg,recyclingbin.jpg,sandcastle.jpg,accordion01.jpg,zipper.jpg,badmintonracket.jpg,donut.jpg,hockeystick.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
