trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,displayPicture.started,displayPicture.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag3,3,4,0,7,103,0.15,0.04,0,0,0,85,5.718497599940747,None,5.718497599940747,None,7.902269799960777,None,7.902269799960777,None,left,0.5814751000143588,7.902269799960777,None,8.51892299996689,None,8.51892299996689,None,right,0.5648476000642404,8.51892299996689,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag4,4,5,0,9,104,0.15,0.04,0,1,1,41,9.102213399950415,None,9.102213399950415,None,11.352067299885675,None,11.352067299885675,None,left,0.579631199943833,11.352067299885675,None,11.952028499916196,None,11.952028499916196,None,right,0.34772580000571907,11.952028499916196,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag4,4,3,0,7,102,0.15,0.04,0,2,2,112,12.318690599990077,None,12.318690599990077,None,14.568551999982446,None,14.568551999982446,None,left,0.5313218999654055,14.568551999982446,None,15.11855629994534,None,15.11855629994534,None,right,0.3492134000407532,15.11855629994534,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag4,4,5,0,9,104,0.15,0.04,0,3,3,46,15.485165199963376,None,15.485165199963376,None,17.735094099887647,None,17.735094099887647,None,left,0.6126116999657825,17.735094099887647,None,18.368376499973238,None,18.368376499973238,None,right,0.3153660000534728,18.368376499973238,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag7,7,4,0,11,103,0.15,0.04,0,4,4,23,18.701725199935026,None,18.701725199935026,None,20.951622299966402,None,20.951622299966402,None,left,0.7401861000107601,20.951622299966402,None,21.718178699957207,None,21.718178699957207,None,left,1.8615968000376597,21.718178699957207,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag5,5,4,0,9,103,0.15,0.04,0,5,5,110,23.618128199945204,None,23.618128199945204,None,25.85132929997053,None,25.85132929997053,None,left,0.49637240008451045,25.85132929997053,None,26.384636899922043,None,26.384636899922043,None,right,3.1551695000380278,26.384636899922043,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag2,2,5,0,7,104,0.15,0.04,0,6,6,90,29.584472099901177,None,29.584472099901177,None,31.834273399901576,None,31.834273399901576,None,left,0.5057079999241978,31.834273399901576,None,32.38423209998291,None,32.38423209998291,None,right,0.747562300064601,32.38423209998291,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag3,3,5,0,8,104,0.15,0.04,0,7,7,61,33.16752339992672,None,33.16752339992672,None,35.41738879994955,None,35.41738879994955,None,left,0.562334300018847,35.41738879994955,None,36.01734719995875,None,36.01734719995875,None,left,1.8104670000029728,36.01734719995875,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag2,2,4,0,6,103,0.15,0.04,0,8,8,103,37.86721669998951,None,37.86721669998951,None,40.10040289990138,None,40.10040289990138,None,left,0.6074011999880895,40.10040289990138,None,40.7503740999382,None,40.7503740999382,None,right,0.8774039000272751,40.7503740999382,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag5,5,5,0,10,104,0.15,0.04,0,9,9,81,41.66696649999358,None,41.66696649999358,None,43.91686319990549,None,43.91686319990549,None,left,0.4549047000473365,43.91686319990549,None,44.41679129994009,None,44.41679129994009,None,right,0.9469807000132278,44.41679129994009,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag6,6,3,0,9,102,0.15,0.04,0,10,10,139,45.40006379992701,None,45.40006379992701,None,47.63325069996063,None,47.63325069996063,None,left,0.5066750000696629,47.63325069996063,None,48.18321049993392,None,48.18321049993392,None,right,1.0845862999558449,48.18321049993392,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag1,1,4,0,5,103,0.15,0.04,0,11,11,10,49.29981259990018,None,49.29981259990018,None,51.54966469993815,None,51.54966469993815,None,left,0.9341318000806496,51.54966469993815,None,52.5163126999978,None,52.5163126999978,None,right,1.095473299967125,52.5163126999978,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
AB,lag4,4,3,0,7,102,0.15,0.04,0,12,12,80,53.649522299994715,None,53.649522299994715,None,55.89937839994673,None,55.89937839994673,None,left,1.1123827999690548,55.89937839994673,None,57.04930779989809,None,57.04930779989809,None,right,0.6744985999539495,57.04930779989809,None,,001,2021_Mar_15_1130,AB_pic,2020.2.10,60.0005639956262,
,,,,,,,,,,,,,57.76592749997508,None,57.76592749997508,None,,,,,,,,,,,,,,,,,,,,,,,
