trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,4.328861400000051,7.05059650000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_31_1451,AB_pic_singleT2,2021.1.2,60.0204789874293,
AB,lag4,4,4,8,0.2,0.05,0.5,0,0,0,13,,,,,7.05059650000004,None,treadmill.jpg,badmintonracket.jpg,tortoise01.jpg,foldingchair.jpg,cigar.jpg,jellybean.jpg,crab01.jpg,popcorn.jpg,peacock.jpg,snowman.jpg,greywolf.jpg,turnstile.jpg,chefshat.jpg,swordfish.jpg,bowlingpin.jpg,christmastree.jpg,cork02.jpg,11.414059300000076,14.16408750000005,13.897434800000042,None,1,0,10,14.397369000000026,None,14.397369000000026,None,.\resources\popcorn.jpg,17.146974399999976,None,1,17.146974399999976,None,left,0.44845810000003894,17.146974399999976,None,17.613604500000065,None,1,right,0.18980290000001787,17.613604500000065,None,17.613604500000065,None,17.846927900000082,None,None,18.846751330000053,None,18.846751330000053,None,,001,2021_Mar_31_1451,AB_pic_singleT2,2021.1.2,60.0204789874293,
AB,lag2,2,5,7,0.2,0.05,0.5,0,1,1,9,,,,,,,redfox.jpg,pooltable.jpg,tulip02.jpg,doghouse.jpg,pumpkin.jpg,saxophone.jpg,beerbottle.jpg,tree.jpg,totempole.jpg,popcorn.jpg,cocktailshrimp02.jpg,ant.jpg,squirrel.jpg,whiteout.jpg,car.jpg,footballhelmet.jpg,leafblower01.jpg,18.846850200000063,21.596860600000014,21.346884300000056,None,1,1,9,21.846847000000025,None,21.846847000000025,None,.\resources\beerbottle.jpg,24.346456500000045,None,0,24.346456500000045,None,right,0.880936399999996,24.346456500000045,None,25.246367700000064,None,0,right,0.5572643000000426,25.246367700000064,None,25.246367700000064,None,25.829710400000067,None,None,26.829505330000053,None,26.829505330000053,None,,001,2021_Mar_31_1451,AB_pic_singleT2,2021.1.2,60.0204789874293,
,,,,,,,,,,,,,,,,,,safe.jpg,pokerchips.jpg,smokingpipe.jpg,chefshat.jpg,dromedary.jpg,frisbee.jpg,crown.jpg,triangle.jpg,musicsheet.jpg,popcorn.jpg,cork02.jpg,noparkingsign.jpg,sandcastle.jpg,rose.jpg,foot.jpg,magneticcompass.jpg,jackrabbit.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
