trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag1,1,5,6,0.07,0.03,0,0,0,84,xylophone.jpg,sink.jpg,funnel.jpg,panda.jpg,foosballtable.jpg,flamingo.jpg,greathornowl.jpg,seal.jpg,frisbee.jpg,africanelephant.jpg,sandcastle.jpg,surfboard.jpg,horse.jpg,statue.jpg,rooster.jpg,toad.jpg,peacock.jpg,8.196506799999952,10.958001199999671,8.196506799999952,10.958001199999671,10.608027100000072,None,0,0,8,11.091329199999564,None,11.091329199999564,None,False,.\resources\flamingo.jpg,11.991292499999872,None,True,11.991292499999872,None,right,0.9225304000001415,11.991292499999872,None,12.957817800000157,None,True,12.957817800000157,None,right,1.4918547999996008,12.957817800000157,None,14.507747999999992,None,15.491001439999764,None,None,15.491001439999764,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag5,5,5,10,0.07,0.03,0,1,1,56,bluejay.jpg,parkingmeter.jpg,acorn.jpg,boxingglove01.jpg,eiffeltower.jpg,funnel.jpg,crosscountryski.jpg,rooster.jpg,sandcastle.jpg,foosballtable.jpg,moose.jpg,arrow02.jpg,moon.jpg,frenchfries.jpg,flamingo.jpg,chefshat.jpg,swordfish.jpg,15.507655899999918,18.25749040000028,15.507655899999918,18.25749040000028,17.990842299999713,None,0,0,12,18.507480399999622,None,18.507480399999622,None,False,.\resources\foosballtable.jpg,19.807402100000218,None,True,19.807402100000218,None,right,19.090314500000204,19.807402100000218,None,38.93946289999985,None,True,38.93946289999985,None,right,9.094257500000822,38.93946289999985,None,48.05551199999991,None,49.05543874000023,None,None,49.05543874000023,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag5,5,3,8,0.07,0.03,0,2,2,43,toad.jpg,frisbee.jpg,moose.jpg,surfboard.jpg,telescope.jpg,bluejay.jpg,funnel.jpg,coffeemaker.jpg,chefshat.jpg,moon.jpg,acorn.jpg,parkingmeter.jpg,swordfish.jpg,badmintonracket.jpg,sausage.jpg,sandcastle.jpg,table01.jpg,49.07211749999988,51.82194890000028,49.07211749999988,51.82194890000028,51.55530629999976,None,0,1,10,52.071916099999726,None,52.071916099999726,None,False,.\resources\coffeemaker.jpg,53.17187620000004,None,True,53.17187620000004,None,right,0.6857515000001513,53.17187620000004,None,53.90514249999978,None,False,53.90514249999978,None,right,1.0644947000000684,53.90514249999978,None,55.005054799999925,None,56.00498393999942,None,None,56.00498393999942,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag4,4,3,7,0.07,0.03,0,3,3,143,sausage.jpg,chefshat.jpg,coffeemaker.jpg,arrow02.jpg,bacon.jpg,foosballtable.jpg,xylophone.jpg,eiffeltower.jpg,frisbee.jpg,rooster.jpg,acorn.jpg,surfboard.jpg,flamingo.jpg,bluejay.jpg,panda.jpg,lip.jpg,nosmokingsign.jpg,56.02165150000019,58.771468599999935,56.02165150000019,58.771468599999935,58.48815889999969,None,0,0,9,58.98816160000024,None,58.98816160000024,None,False,.\resources\xylophone.jpg,60.00472489999993,None,True,60.00472489999993,None,right,0.7889291999999841,60.00472489999993,None,60.83799999999974,None,True,60.83799999999974,None,right,0.9557693000006111,60.83799999999974,None,61.8379331999995,None,62.83786704000022,None,None,62.83786704000022,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag4,4,3,7,0.07,0.03,0,4,4,142,arrow02.jpg,sink.jpg,badmintonracket.jpg,telescope.jpg,lip.jpg,toad.jpg,crosscountryski.jpg,bacon.jpg,swordfish.jpg,nosmokingsign.jpg,boxingglove01.jpg,sausage.jpg,moon.jpg,greathornowl.jpg,tarantula.jpg,peacock.jpg,chefshat.jpg,62.854538599999614,65.60435030000008,62.854538599999614,65.60435030000008,65.32107089999954,None,0,0,9,65.82101059999968,None,65.82101059999968,None,False,.\resources\crosscountryski.jpg,66.83760799999982,None,True,66.83760799999982,None,right,0.6280956999999034,66.83760799999982,None,67.50423899999987,None,True,67.50423899999987,None,right,0.9217499999995198,67.50423899999987,None,68.47084029999951,None,69.47081974000002,None,None,69.47081974000002,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag2,2,4,6,0.07,0.03,0,5,5,79,statue.jpg,crosscountryski.jpg,funnel.jpg,bacon.jpg,badmintonracket.jpg,africanelephant.jpg,surfboard.jpg,peacock.jpg,hotdogweiner.jpg,tarantula.jpg,bluejay.jpg,sink.jpg,swordfish.jpg,nosmokingsign.jpg,moon.jpg,frenchfries.jpg,parkingmeter.jpg,69.4874321999996,72.23726480000005,69.4874321999996,72.23726480000005,71.95395120000012,None,0,1,8,72.45391819999986,None,72.45391819999986,None,False,.\resources\africanelephant.jpg,73.3705344,None,True,73.3705344,None,right,0.7431660000002012,73.3705344,None,74.15378479999981,None,False,74.15378479999981,None,right,0.5039483999998993,74.15378479999981,None,74.70376729999953,None,75.70371093999938,None,None,75.70371093999938,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag2,2,5,7,0.07,0.03,0,6,6,49,frenchfries.jpg,horse.jpg,seal.jpg,crosscountryski.jpg,boxingglove01.jpg,coffeemaker.jpg,moon.jpg,xylophone.jpg,panda.jpg,foosballtable.jpg,moose.jpg,arrow02.jpg,nosmokingsign.jpg,lip.jpg,sink.jpg,sandcastle.jpg,eiffeltower.jpg,75.72035749999941,78.47016170000006,75.72035749999941,78.47016170000006,78.18688659999953,None,1,0,9,78.70348430000013,None,78.70348430000013,None,False,.\resources\moon.jpg,79.7034179000002,None,False,79.7034179000002,None,down,16.54631960000006,79.7034179000002,None,96.28562499999953,None,False,96.28562499999953,None,down,1.068022600000404,96.28562499999953,None,97.38557949999995,None,98.38547913999946,None,None,98.38547913999946,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag4,4,4,8,0.07,0.03,0,7,7,34,badmintonracket.jpg,lip.jpg,toad.jpg,bluejay.jpg,boxingglove01.jpg,rooster.jpg,nosmokingsign.jpg,coffeemaker.jpg,arrow02.jpg,moon.jpg,greathornowl.jpg,africanelephant.jpg,xylophone.jpg,brownsugar.jpg,hotdogweiner.jpg,frenchfries.jpg,seal.jpg,98.40215360000002,101.15205479999986,98.40215360000002,101.15205479999986,100.86871009999959,None,0,0,10,101.36867530000018,None,101.36867530000018,None,False,.\resources\coffeemaker.jpg,102.48532979999982,None,True,102.48532979999982,None,right,0.6442305999999007,102.48532979999982,None,103.16852699999981,None,True,103.16852699999981,None,right,0.88101480000023,103.16852699999981,None,104.06850579999991,None,105.06840533999957,None,None,105.06840533999957,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag5,5,5,10,0.07,0.03,0,8,8,100,sandcastle.jpg,africanelephant.jpg,arrow02.jpg,bluejay.jpg,coffeemaker.jpg,toad.jpg,rooster.jpg,nosmokingsign.jpg,funnel.jpg,parkingmeter.jpg,moon.jpg,brownsugar.jpg,sausage.jpg,statue.jpg,sink.jpg,lip.jpg,eiffeltower.jpg,105.08509539999977,107.83488269999998,105.08509539999977,107.83488269999998,107.55156929999976,None,0,0,12,108.05153960000007,None,108.05153960000007,None,False,.\resources\parkingmeter.jpg,109.36812060000011,None,True,109.36812060000011,None,right,0.5696728000002622,109.36812060000011,None,109.98475539999981,None,True,109.98475539999981,None,right,0.6088654000004681,109.98475539999981,None,110.61802960000023,None,111.61796193999953,None,None,111.61796193999953,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag4,4,4,8,0.07,0.03,0,9,9,70,africanelephant.jpg,eiffeltower.jpg,coffeemaker.jpg,hotdogweiner.jpg,funnel.jpg,frisbee.jpg,boxingglove01.jpg,sandcastle.jpg,bacon.jpg,greathornowl.jpg,crosscountryski.jpg,moon.jpg,xylophone.jpg,chefshat.jpg,foosballtable.jpg,tarantula.jpg,acorn.jpg,111.63463309999952,114.38444979999986,111.63463309999952,114.38444979999986,114.11779630000001,None,1,0,10,114.63447439999982,None,114.63447439999982,None,False,.\resources\sandcastle.jpg,115.73436289999972,None,False,115.73436289999972,None,right,0.9073572999996031,115.73436289999972,None,116.68432209999992,None,True,116.68432209999992,None,right,0.49326839999957883,116.68432209999992,None,117.21759509999993,None,118.21752184000024,None,None,118.21752184000024,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag4,4,4,8,0.07,0.03,0,10,10,98,arrow02.jpg,africanelephant.jpg,lip.jpg,foosballtable.jpg,bacon.jpg,seal.jpg,panda.jpg,parkingmeter.jpg,horse.jpg,moose.jpg,badmintonracket.jpg,moon.jpg,crosscountryski.jpg,greathornowl.jpg,chefshat.jpg,table01.jpg,sandcastle.jpg,118.23419439999998,120.9840151999997,118.23419439999998,120.9840151999997,120.71738490000007,None,0,1,10,121.2339966999998,None,121.2339966999998,None,False,.\resources\parkingmeter.jpg,122.3339218000001,None,True,122.3339218000001,None,right,0.8276679000000513,122.3339218000001,None,123.20053699999971,None,False,123.20053699999971,None,right,0.729044700000486,123.20053699999971,None,123.95052149999992,None,124.95041093999998,None,None,124.95041093999998,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag4,4,4,8,0.07,0.03,0,11,11,147,funnel.jpg,tarantula.jpg,seal.jpg,bluejay.jpg,crosscountryski.jpg,eiffeltower.jpg,flamingo.jpg,moon.jpg,sink.jpg,africanelephant.jpg,surfboard.jpg,chefshat.jpg,arrow02.jpg,horse.jpg,bacon.jpg,nosmokingsign.jpg,boxingglove01.jpg,124.96708080000008,127.7169342999996,124.96708080000008,127.7169342999996,127.45025220000025,None,0,1,10,127.95021769999948,None,127.95021769999948,None,False,.\resources\moon.jpg,129.06681729999946,None,True,129.06681729999946,None,right,0.5348087000002124,129.06681729999946,None,129.63343919999988,None,False,129.63343919999988,None,right,0.528179299999465,129.63343919999988,None,130.18342370000028,None,131.18336664000026,None,None,131.18336664000026,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag7,7,4,11,0.07,0.03,0,12,12,23,tarantula.jpg,badmintonracket.jpg,moose.jpg,swordfish.jpg,statue.jpg,brownsugar.jpg,xylophone.jpg,arrow02.jpg,parkingmeter.jpg,rooster.jpg,frenchfries.jpg,horse.jpg,seal.jpg,flamingo.jpg,frisbee.jpg,moon.jpg,chefshat.jpg,131.2000152999999,133.94981559999997,131.2000152999999,133.94981559999997,133.66654000000017,None,1,0,13,134.16647999999986,None,134.16647999999986,None,False,.\resources\frenchfries.jpg,135.58306360000006,None,False,135.58306360000006,None,down,8.514624800000092,135.58306360000006,None,144.13248079999994,None,False,144.13248079999994,None,down,0.8692429000002448,144.13248079999994,None,145.04910010000003,None,146.04903374000014,None,None,146.04903374000014,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag7,7,4,11,0.07,0.03,0,13,13,123,boxingglove01.jpg,nosmokingsign.jpg,surfboard.jpg,arrow02.jpg,funnel.jpg,rooster.jpg,lip.jpg,coffeemaker.jpg,badmintonracket.jpg,frisbee.jpg,seal.jpg,sausage.jpg,crosscountryski.jpg,brownsugar.jpg,eiffeltower.jpg,chefshat.jpg,sink.jpg,146.06571189999977,148.8155281999998,146.06571189999977,148.8155281999998,148.53225199999997,None,0,1,13,149.04884599999968,None,149.04884599999968,None,False,.\resources\seal.jpg,150.44878909999989,None,True,150.44878909999989,None,right,0.5049361000001227,150.44878909999989,None,150.99867040000026,None,False,150.99867040000026,None,right,0.5629214999999022,150.99867040000026,None,151.5986538999996,None,152.59860463999985,None,None,152.59860463999985,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag4,4,5,9,0.07,0.03,0,14,14,78,tarantula.jpg,arrow02.jpg,crosscountryski.jpg,peacock.jpg,funnel.jpg,frenchfries.jpg,seal.jpg,greathornowl.jpg,badmintonracket.jpg,chefshat.jpg,eiffeltower.jpg,bacon.jpg,sink.jpg,parkingmeter.jpg,telescope.jpg,brownsugar.jpg,xylophone.jpg,152.61524219999956,155.36544119999962,152.61524219999956,155.36544119999962,155.08220989999973,None,0,1,11,155.5988196999997,None,155.5988196999997,None,False,.\resources\badmintonracket.jpg,156.7982790999995,None,True,156.7982790999995,None,right,0.5075065999999424,156.7982790999995,None,157.34825759999967,None,False,157.34825759999967,None,right,0.5174281999998129,157.34825759999967,None,157.8815571999994,None,158.88147014000015,None,None,158.88147014000015,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag1,1,4,5,0.07,0.03,0,15,15,67,flamingo.jpg,brownsugar.jpg,tarantula.jpg,seal.jpg,table01.jpg,badmintonracket.jpg,xylophone.jpg,sink.jpg,arrow02.jpg,lip.jpg,statue.jpg,nosmokingsign.jpg,rooster.jpg,africanelephant.jpg,foosballtable.jpg,peacock.jpg,horse.jpg,158.89817219999986,161.6483718999998,158.89817219999986,161.6483718999998,161.36504530000002,None,0,1,7,161.8646134999999,None,161.8646134999999,None,False,.\resources\table01.jpg,162.68163839999943,None,True,162.68163839999943,None,right,0.648025299999972,162.68163839999943,None,163.36457969999992,None,False,163.36457969999992,None,right,0.5970319999996718,163.36457969999992,None,163.98118569999951,None,164.9810641399995,None,None,164.9810641399995,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag6,6,4,10,0.07,0.03,0,16,16,51,funnel.jpg,badmintonracket.jpg,sandcastle.jpg,telescope.jpg,chefshat.jpg,arrow02.jpg,flamingo.jpg,parkingmeter.jpg,swordfish.jpg,moon.jpg,peacock.jpg,greathornowl.jpg,horse.jpg,africanelephant.jpg,eiffeltower.jpg,xylophone.jpg,boxingglove01.jpg,164.99773689999984,167.74796079999942,164.99773689999984,167.74796079999942,167.46465290000015,None,0,0,12,167.96419669999977,None,167.96419669999977,None,False,.\resources\moon.jpg,169.28078769999956,None,True,169.28078769999956,None,right,11.60085429999981,169.28078769999956,None,180.91334709999956,None,True,180.91334709999956,None,right,0.6882408999999825,180.91334709999956,None,181.64664279999943,None,182.6465627399998,None,None,182.6465627399998,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
AB,lag2,2,5,7,0.07,0.03,0,17,17,13,tarantula.jpg,seal.jpg,greathornowl.jpg,flamingo.jpg,brownsugar.jpg,frenchfries.jpg,parkingmeter.jpg,eiffeltower.jpg,bluejay.jpg,statue.jpg,sausage.jpg,arrow02.jpg,toad.jpg,nosmokingsign.jpg,horse.jpg,foosballtable.jpg,africanelephant.jpg,182.6632757999996,185.4134570999995,182.6632757999996,185.4134570999995,185.14684620000025,None,0,0,9,185.66349850000006,None,185.66349850000006,None,False,.\resources\parkingmeter.jpg,186.6633850999997,None,True,186.6633850999997,None,right,0.9381660999997621,186.6633850999997,None,187.64624679999997,None,True,187.64624679999997,None,right,0.6112844999997833,187.64624679999997,None,188.2795602999995,None,189.27945693999982,None,None,189.27945693999982,None,,001,2021_Mar_16_1107,AB_pic,2020.2.10,60.0080170710004,
,,,,,,,,,,,parkingmeter.jpg,seal.jpg,nosmokingsign.jpg,sausage.jpg,brownsugar.jpg,tarantula.jpg,greathornowl.jpg,frenchfries.jpg,coffeemaker.jpg,acorn.jpg,horse.jpg,toad.jpg,africanelephant.jpg,moon.jpg,bacon.jpg,arrow02.jpg,panda.jpg,189.29613379999955,192.04634889999943,189.29613379999955,192.04634889999943,191.76305239999965,None,0,0,8,192.26264100000026,None,192.26264100000026,None,False,.\resources\tarantula.jpg,193.17928119999942,None,True,193.17928119999942,None,right,0.9743312000000515,193.17928119999942,None,194.19587030000002,None,True,194.19587030000002,None,right,0.4937021999994613,194.19587030000002,None,,,,,,,,,,,,,,
