trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,polygon.started,polygon.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,opt2_t1,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,opt1_t2,opt2_t2,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag1,1,5,0,6,104,0.2,0.15,0,0,0,83,cobra.jpg,microphone01.jpg,snowboard.jpg,squid.jpg,ear.jpg,punchingbag.jpg,fortunecookie.jpg,hockeypuck.jpg,dormer.jpg,bat.jpg,leafblower01.jpg,birdhouse.jpg,birdfeeder.jpg,mouse.jpg,honeybee.jpg,pokerchips.jpg,giraffe.jpg,5.53322930005379,None,5.53322930005379,None,5.53322930005379,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\pokerchips.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\ear.jpg,10.730379300075583,None,10.730379300075583,None,right,0.7516779999714345,10.730379300075583,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\punchingbag.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\giraffe.jpg,11.546942900051363,None,11.546942900051363,None,right,1.0950492999982089,11.546942900051363,None,12.663150860054884,None,None,12.663150860054884,None,,,001,2021_Mar_15_1401,AB_pic,2020.2.10,59.984655919908455,
AB,lag2,2,3,0,5,102,0.2,0.15,0,1,1,91,hockeypuck.jpg,fortunecookie.jpg,mouse.jpg,marble.jpg,mailbox02.jpg,mattress.jpg,totempole.jpg,grizzly.jpg,honeybee.jpg,ear.jpg,jeans01.jpg,tent.jpg,cobra.jpg,microwave.jpg,skateboard.jpg,sword01.jpg,spiderweb.jpg,12.69687410001643,None,12.69687410001643,None,12.69687410001643,None,True,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\mouse.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\sword01.jpg,17.96320390002802,None,17.96320390002802,None,left,1.3828103000996634,17.96320390002802,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\mailbox02.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\spiderweb.jpg,19.379320200067014,None,19.379320200067014,None,right,0.5187813000520691,19.379320200067014,None,19.92933135997737,None,None,19.92933135997737,None,,,001,2021_Mar_15_1401,AB_pic,2020.2.10,59.984655919908455,
AB,lag4,4,3,0,7,102,0.2,0.15,0,2,2,2,fortunecookie.jpg,squid.jpg,sword01.jpg,wallclock.jpg,marble.jpg,bowlingpin.jpg,waterfall.jpg,statue.jpg,punchingbag.jpg,honeybee.jpg,microwave.jpg,birdfeeder.jpg,swing.jpg,spiderweb.jpg,tent.jpg,polarbear.jpg,birdhouse.jpg,19.96262080001179,None,19.96262080001179,None,19.96262080001179,None,True,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\polarbear.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\sword01.jpg,25.229361700010486,None,25.229361700010486,None,right,0.8846049000276253,25.229361700010486,None,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\birdhouse.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\waterfall.jpg,26.146003999980167,None,26.146003999980167,None,left,0.4399232999421656,26.146003999980167,None,26.662217100034468,None,space,26.662217100034468,None,2.419709000037983,,001,2021_Mar_15_1401,AB_pic,2020.2.10,59.984655919908455,
,,,,,,,,,,,,,mattress.jpg,spiderweb.jpg,fortunecookie.jpg,polarbear.jpg,swing.jpg,snowboard.jpg,sword01.jpg,grizzly.jpg,statue.jpg,bowlingpin.jpg,parachute.jpg,skateboard.jpg,platypus.jpg,waterfall.jpg,duck01.jpg,hockeypuck.jpg,honeybee.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
