trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,phase,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,option2.started,option2.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,option1_t2.started,option1_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_2.started,option1_2.stopped,option2_2.started,option2_2.stopped,text_5.started,text_5.stopped,displayPicture_2.started,displayPicture_2.stopped,polygon_10.started,polygon_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,7.438767300001928,None,space,1.140020300008473,7.438767300001928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1108,AB_pic,2020.2.10,60.02667585522046,
AB,lag6,6,5,11,0.2,0.05,0.5,0,0,0,0,,,,,,,,,,,,rollerblade.jpg,bullet.jpg,locker.jpg,lightswitch01.jpg,magneticcompass.jpg,swing.jpg,sheep.jpg,well.jpg,acousticguitar02.jpg,statue.jpg,wallclock.jpg,raccoon.jpg,dreamcatcher.jpg,acorn.jpg,ducttape.jpg,cashregister01.jpg,ironingboard01.jpg,8.673828400002094,11.423238799994579,8.673828400002094,11.423238799994579,11.156624399998691,None,0,1,13,11.656554999994114,None,11.656554999994114,None,.\resources\wallclock.jpg,15.156323200004408,None,1,15.156323200004408,None,right,1.046360000007553,15.156323200004408,None,16.23972060000233,None,1,16.23972060000233,None,left,0.3629222000017762,16.23972060000233,None,16.639682699998957,None,17.639476430001377,None,None,17.639476430001377,None,,,,,,,,,,,,,,,,,,001,2021_Mar_17_1108,AB_pic,2020.2.10,60.02667585522046,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6561337000021,None,space,0.8813622000016039,17.6561337000021,None,,,,,,,,,,,,001,2021_Mar_17_1108,AB_pic,2020.2.10,60.02667585522046,
,,,,,,,,,,,,,,,,,,,,,,,triangle.jpg,birdfeeder.jpg,raccoon.jpg,magneticcompass.jpg,birdnest.jpg,donut.jpg,swordfish.jpg,eyepatch.jpg,banjo.jpg,statue.jpg,well.jpg,sheep.jpg,lightswitch01.jpg,dreamcatcher.jpg,swing.jpg,jellybean.jpg,whiteout.jpg,,,,,,,1,1,13,,,,,.\resources\birdnest.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.622745400003623,21.37258519999159,18.622745400003623,21.37258519999159,21.105908600002294,None,21.58923009999853,None,21.58923009999853,None,,,,,,,
