trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,lastPresent,polygon.started,polygon.stopped,polygon_3.started,polygon_3.stopped,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,flipper,opt1_t1,opt2_t1,opt3_t1,opt4_t1,option4_t1.started,option4_t1.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,option3_t1.started,option3_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag3,3,5,8,0.2,0.05,0,0,0,75,crown.jpg,fishskeleton.jpg,pingpongtable.jpg,rubikcube.jpg,cow.jpg,cannon.jpg,spear02.jpg,flamingo.jpg,blender.jpg,chimney.jpg,christmastree.jpg,cashregister01.jpg,tie02.jpg,tire.jpg,uprightpiano01.jpg,kangaroo.jpg,kneepad01c.jpg,10,5.182212600018829,None,5.182212600018829,None,5.182212600018829,None,5.182212600018829,None,False,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\kangaroo.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\flamingo.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\kangaroo.jpg,C:\Users\Employee\Google Drive\UP\MyResearch\TaskProgramming\AB_pic\resources\flamingo.jpg,7.86255970003549,None,7.86255970003549,None,7.86255970003549,None,7.86255970003549,None,up,1.1239498000359163,7.86255970003549,None,9.02913040004205,None,9.02913040004205,None,left,0.8612510999664664,9.02913040004205,None,9.912435729952994,None,None,9.912435729952994,None,,001,2021_Mar_15_1512,AB_pic,2020.2.10,60.00513646482174,
,,,,,,,,,,,makiroll.jpg,pingpongtable.jpg,wheelchair.jpg,cannon.jpg,tire.jpg,tank.jpg,blender.jpg,eye.jpg,pirateflag.jpg,christmastree.jpg,calendar.jpg,flamingo.jpg,spear02.jpg,tie02.jpg,kneepad01c.jpg,daddylonglegs.jpg,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
