trialType,cndTyp,lag,T1_loc,gap,T2_loc,primePos,stimLen,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,displayPicture.started,displayPicture.stopped,option1_t1.started,option1_t1.stopped,option2_t1.started,option2_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,option1_t2.started,option1_t2.stopped,option2_t2.started,option2_t2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag7,7,5,0,12,104,0.15,0.04,0,0,0,19,5.377392200054601,None,5.377392200054601,None,7.571301400079392,None,7.571301400079392,None,left,2.810340099968016,7.571301400079392,None,10.421143500017934,None,10.421143500017934,None,right,1.7685643000295386,10.421143500017934,None,,001,2021_Mar_15_1133,AB_pic,2020.2.10,59.966418787129754,
,,,,,,,,,,,,,12.237688899971545,None,12.237688899971545,None,14.48754140001256,None,14.48754140001256,None,left,0.7662882999284193,14.48754140001256,None,,,,,,,,,,,,,,,
